Simbol,Izdavatelj,ISIN,Broj izdanih,Nominala,Datum uvrštenja,url
HIMR,"IMPERIAL hoteljerstvo, ugostiteljstvo i turizam d.d.",HRHIMRRA0001,635.855,"400,00 HRK",22.8.1995,http://www.zse.hr/default.aspx?id=10006&dionica=74
HJDR,HOTELI JADRAN dioničko društvo za hotelijerstvo,HRHJDRRA0001,107.115,"700,00 HRK",13.10.1998,http://www.zse.hr/default.aspx?id=10006&dionica=660
HMAM,"HOTELI MAKARSKA, dioničko društvo",HRHMAMRA0004,1.119.470,"200,00 HRK",31.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=216
HMST,HOTELI MAESTRAL dioničko društvo za hotelijerstvo i turizam,HRHMSTRA0007,515.720,"200,00 HRK",25.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=297
HPB,"HRVATSKA POŠTANSKA BANKA, dioničko društvo",HRHPB0RA0002,2.024.625,"600,00 HRK",10.11.2015,http://www.zse.hr/default.aspx?id=10006&dionica=417
HPDG,MEDORA HOTELI I LJETOVALIŠTA dioničko društvo,HRHPDGRA0006,5.266.250,"10,00 HRK",6.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=344
HT,Hrvatski Telekom d.d.,HRHT00RA0005,81.670.064,"0,00 HRK",5.10.2007,http://www.zse.hr/default.aspx?id=10006&dionica=1063
HTCP,"HOTELI TUČEPI, dioničko društvo",HRHTCPRA0002,548.200,"300,00 HRK",11.11.2003,http://www.zse.hr/default.aspx?id=10006&dionica=362
HTPK,"HTP KORČULA - dioničko društvo za ugostiteljstvo, turizam, trgovinu i pružanje ostalih usluga",HRHTPKRA0002,2.468.869,"50,00 HRK",1.8.2003,http://www.zse.hr/default.aspx?id=10006&dionica=670
HTPO,"HTP OREBIĆ - dioničko društvo za ugostiteljstvo, turizam, trgovinu i pružanje ostalih usluga",HRHTPORA0008,475.820,"100,00 HRK",28.7.2003,http://www.zse.hr/default.aspx?id=10006&dionica=671
HVDC,HOTELI VODICE dioničko društvo za ugostiteljstvo i turizam,HRHVDCRA0002,468.634, HRK,22.2.2007,http://www.zse.hr/default.aspx?id=10006&dionica=1034
HZLA,HOTELI ZLATNI RAT dioničko društvo za ugostiteljstvo i turizam,HRHZLARA0000,725.519,"360,00 HRK",2.1.2014,http://www.zse.hr/default.aspx?id=10006&dionica=1358
